full_label	tag	aux_document	local_label
algebraic-lemma-base-change-representable-transformations-property	045C	algebraic	lemma-base-change-representable-transformations-property
algebraic-lemma-characterize-representable-by-algebraic-spaces	04Y5	algebraic	lemma-characterize-representable-by-algebraic-spaces
algebraic-lemma-composition-representable-transformations-property	045B	algebraic	lemma-composition-representable-transformations-property
algebraic-lemma-representable-diagonal	045G	algebraic	lemma-representable-diagonal
algebraic-lemma-stack-presentation	04T5	algebraic	lemma-stack-presentation
algebraic-section-2-yoneda	04SS	algebraic	section-2-yoneda
algebraic-section-conventions	026M	algebraic	section-conventions
algebraic-section-representable-by-algebraic-spaces	02ZV	algebraic	section-representable-by-algebraic-spaces
algebraic-section-representable-morphism	04ST	algebraic	section-representable-morphism
algebraic-section-split	04SU	algebraic	section-split
bootstrap-lemma-quotient-stack-isom	04TB	bootstrap	lemma-quotient-stack-isom
categories-example-presheaf	04TM	categories	example-presheaf
categories-lemma-2-product-categories-over-C	0040	categories	lemma-2-product-categories-over-C
categories-lemma-fibred-groupoids-fibre-product-goes-up	06N6	categories	lemma-fibred-groupoids-fibre-product-goes-up
categories-lemma-functorial-limit	002L	categories	lemma-functorial-limit
categories-lemma-yoneda	001P	categories	lemma-yoneda
coherent-lemma-quasi-coherent-affine-cohomology-zero	01XB	coherent	lemma-quasi-coherent-affine-cohomology-zero
criteria-theorem-flat-groupoid-gives-algebraic-stack	06FI	criteria	theorem-flat-groupoid-gives-algebraic-stack
derived-lemma-adjoint-preserve-K-injectives	08BJ	derived	lemma-adjoint-preserve-K-injectives
derived-lemma-fully-faithful-adjoint-kernel-zero	09J1	derived	lemma-fully-faithful-adjoint-kernel-zero
descent-definition-structure-sheaf	03DU	descent	definition-structure-sheaf
descent-lemma-compare-sites	070S	descent	lemma-compare-sites
descent-lemma-equivalence-quasi-coherent-limits	06VE	descent	lemma-equivalence-quasi-coherent-limits
descent-lemma-properties-quasi-coherent	0GNB	descent	lemma-properties-quasi-coherent
descent-lemma-qc-colimits	0GNE	descent	lemma-qc-colimits
