full_label	tag	aux_document	local_label
algebra-lemma-descend-properties-modules	03C4	algebra	lemma-descend-properties-modules
bootstrap-lemma-descend-algebraic-space	0ADV	bootstrap	lemma-descend-algebraic-space
bootstrap-lemma-descent-torsor	04U1	bootstrap	lemma-descent-torsor
bootstrap-lemma-locally-algebraic-space	04SK	bootstrap	lemma-locally-algebraic-space
bootstrap-lemma-quotient-stack-isom	04TB	bootstrap	lemma-quotient-stack-isom
categories-definition-cartesian-over-C	02XK	categories	definition-cartesian-over-C
categories-example-functor-groupoids	0049	categories	example-functor-groupoids
categories-example-presheaf	04TM	categories	example-presheaf
categories-lemma-composition-cartesian	02XL	categories	lemma-composition-cartesian
categories-lemma-fibred-gives-fibred-groupoids	03WQ	categories	lemma-fibred-gives-fibred-groupoids
categories-lemma-yoneda-2category	004B	categories	lemma-yoneda-2category
descent-lemma-affine	0245	descent	lemma-affine
descent-lemma-descending-property-etale	02VN	descent	lemma-descending-property-etale
descent-lemma-descending-property-finite	02LA	descent	lemma-descending-property-finite
descent-lemma-descending-property-finite-locally-free	02VO	descent	lemma-descending-property-finite-locally-free
descent-proposition-fpqc-descent-quasi-coherent	023T	descent	proposition-fpqc-descent-quasi-coherent
groupoids-example-multiplicative-group	022U	groupoids	example-multiplicative-group
modules-lemma-pullback-finite-type	01B6	modules	lemma-pullback-finite-type
pione-section-finite-etale	0BL6	pione	section-finite-etale
quot-section-conventions	05X6	quot	section-conventions
quot-section-picard-stack	0D02	quot	section-picard-stack
sheaves-section-ringed-spaces-functoriality-modules	0094	sheaves	section-ringed-spaces-functoriality-modules
sites-cohomology-definition-torsor	03AH	sites-cohomology	definition-torsor
sites-lemma-glue-maps	04TQ	sites	lemma-glue-maps
sites-lemma-glue-sheaves	04TR	sites	lemma-glue-sheaves
sites-lemma-mapping-property-glue	04TS	sites	lemma-mapping-property-glue
sites-section-glueing-sheaves	04TP	sites	section-glueing-sheaves
sites-section-localize-topoi	04GY	sites	section-localize-topoi
spaces-descent-lemma-descending-property-flat	041W	spaces-descent	lemma-descending-property-flat
spaces-descent-lemma-descending-property-locally-finite-presentation	041T	spaces-descent	lemma-descending-property-locally-finite-presentation
spaces-descent-lemma-descending-property-surjective	041Q	spaces-descent	lemma-descending-property-surjective
spaces-descent-lemma-fpqc-universal-effective-epimorphisms	04P2	spaces-descent	lemma-fpqc-universal-effective-epimorphisms
spaces-descent-proposition-fpqc-descent-quasi-coherent	04W8	spaces-descent	proposition-fpqc-descent-quasi-coherent
spaces-groupoids-definition-principal-homogeneous-space	04TY	spaces-groupoids	definition-principal-homogeneous-space
spaces-groupoids-definition-quotient-stack	044Q	spaces-groupoids	definition-quotient-stack
spaces-groupoids-lemma-quotient-stack-morphisms	044V	spaces-groupoids	lemma-quotient-stack-morphisms
spaces-groupoids-section-explicit-quotient-stacks	04MB	spaces-groupoids	section-explicit-quotient-stacks
spaces-lemma-space-presentation	0262	spaces	lemma-space-presentation
spaces-morphisms-lemma-base-change-finite-type	03XH	spaces-morphisms	lemma-base-change-finite-type
spaces-topologies-section-procedure	03Y6	spaces-topologies	section-procedure
stacks-definition-stack	026F	stacks	definition-stack
stacks-definition-stack-in-groupoids	02ZI	stacks	definition-stack-in-groupoids
stacks-lemma-characterize-essentially-surjective-when-ff	046N	stacks	lemma-characterize-essentially-surjective-when-ff
stacks-lemma-presheaf-mor-map-fibred-categories	042V	stacks	lemma-presheaf-mor-map-fibred-categories
stacks-lemma-stack-equivalences	02ZF	stacks	lemma-stack-equivalences
stacks-lemma-stack-gives-stack-groupoids	03YI	stacks	lemma-stack-gives-stack-groupoids
stacks-lemma-stack-in-setoids-characterize	0432	stacks	lemma-stack-in-setoids-characterize
stacks-lemma-stackify-groupoids-universal-property	0436	stacks	lemma-stackify-groupoids-universal-property
stacks-lemma-substack	04TU	stacks	lemma-substack
stacks-remark-stack-make-small	03ZZ	stacks	remark-stack-make-small
topologies-definition-big-fppf-site	021R	topologies	definition-big-fppf-site
topologies-definition-big-small-fppf	021S	topologies	definition-big-small-fppf
