full_label	tag	aux_document	local_label
algebra-lemma-cokernel-flat	00O0	algebra	lemma-cokernel-flat
algebra-lemma-isolated-point	00PJ	algebra	lemma-isolated-point
algebra-lemma-ring-colimit-fp	00QN	algebra	lemma-ring-colimit-fp
algebraic-definition-algebraic-stack	026O	algebraic	definition-algebraic-stack
algebraic-definition-relative-representable-property	03YK	algebraic	definition-relative-representable-property
algebraic-equation-representable-by-algebraic-spaces	0402	algebraic	equation-representable-by-algebraic-spaces
algebraic-lemma-base-change-by-space-representable-by-space	0300	algebraic	lemma-base-change-by-space-representable-by-space
algebraic-lemma-base-change-representable-by-spaces	0302	algebraic	lemma-base-change-representable-by-spaces
algebraic-lemma-base-change-representable-transformations-property	045C	algebraic	lemma-base-change-representable-transformations-property
algebraic-lemma-characterize-representable-by-space	02ZX	algebraic	lemma-characterize-representable-by-space
algebraic-lemma-composition-representable-transformations-property	045B	algebraic	lemma-composition-representable-transformations-property
algebraic-lemma-diagonal-quotient-stack	04WZ	algebraic	lemma-diagonal-quotient-stack
algebraic-lemma-equivalent	03YQ	algebraic	lemma-equivalent
algebraic-lemma-map-fibred-setoids-property	04TC	algebraic	lemma-map-fibred-setoids-property
algebraic-lemma-map-fibred-setoids-representable-algebraic-spaces	04SY	algebraic	lemma-map-fibred-setoids-representable-algebraic-spaces
algebraic-lemma-map-space-into-stack	04T4	algebraic	lemma-map-space-into-stack
algebraic-lemma-open-fibred-category-is-algebraic	05UN	algebraic	lemma-open-fibred-category-is-algebraic
algebraic-lemma-representable-diagonal	045G	algebraic	lemma-representable-diagonal
algebraic-lemma-representable-morphism-to-algebraic	05UM	algebraic	lemma-representable-morphism-to-algebraic
algebraic-lemma-representable-transformations-property-implication	045F	algebraic	lemma-representable-transformations-property-implication
algebraic-lemma-smooth-quotient-smooth-presentation	04X0	algebraic	lemma-smooth-quotient-smooth-presentation
algebraic-lemma-smooth-surjective-morphism-implies-algebraic	05UL	algebraic	lemma-smooth-surjective-morphism-implies-algebraic
algebraic-lemma-stack-presentation	04T5	algebraic	lemma-stack-presentation
algebraic-remark-flat-fp-presentation	04WY	algebraic	remark-flat-fp-presentation
algebraic-section-2-yoneda	04SS	algebraic	section-2-yoneda
algebraic-section-conventions	026M	algebraic	section-conventions
algebraic-section-morphisms-representable-by-algebraic-spaces	04SX	algebraic	section-morphisms-representable-by-algebraic-spaces
algebraic-section-representable	02ZQ	algebraic	section-representable
algebraic-section-representable-by-algebraic-spaces	02ZV	algebraic	section-representable-by-algebraic-spaces
algebraic-section-representable-morphism	04ST	algebraic	section-representable-morphism
algebraic-section-representable-properties	03YJ	algebraic	section-representable-properties
algebraic-section-split	04SU	algebraic	section-split
algebraic-section-stacks	0304	algebraic	section-stacks
algebraic-theorem-smooth-groupoid-gives-algebraic-stack	04TK	algebraic	theorem-smooth-groupoid-gives-algebraic-stack
bootstrap-lemma-glueing-sheaves	07WE	bootstrap	lemma-glueing-sheaves
bootstrap-lemma-quotient-stack-isom	04TB	bootstrap	lemma-quotient-stack-isom
bootstrap-lemma-representable-by-spaces-over-space	02YS	bootstrap	lemma-representable-by-spaces-over-space
bootstrap-lemma-spaces-etale	076M	bootstrap	lemma-spaces-etale
bootstrap-section-introduction	046B	bootstrap	section-introduction
bootstrap-section-morphism-representable-by-spaces	02YP	bootstrap	section-morphism-representable-by-spaces
bootstrap-section-representable-by-spaces-properties	046E	bootstrap	section-representable-by-spaces-properties
bootstrap-theorem-bootstrap	03Y3	bootstrap	theorem-bootstrap
bootstrap-theorem-final-bootstrap	04S6	bootstrap	theorem-final-bootstrap
categories-definition-horizontal-composition	003E	categories	definition-horizontal-composition
categories-lemma-2-fibre-product-erase-factor	02XD	categories	lemma-2-fibre-product-erase-factor
categories-lemma-yoneda	001P	categories	lemma-yoneda
categories-section-inertia	04Z2	categories	section-inertia
etale-lemma-finite-etale-one-point	04DH	etale	lemma-finite-etale-one-point
examples-section-not-algebraic-stack	04AG	examples	section-not-algebraic-stack
