full_label	tag	aux_document	local_label
algebra-definition-lci	00SL	algebra	definition-lci
algebra-definition-lci-field	00S9	algebra	definition-lci-field
algebra-definition-lci-local-ring	00SD	algebra	definition-lci-local-ring
algebra-definition-quasi-finite	00PL	algebra	definition-quasi-finite
algebra-lemma-artinian-finite-length	00JB	algebra	lemma-artinian-finite-length
algebra-lemma-characterize-henselian	04GG	algebra	lemma-characterize-henselian
algebra-lemma-characterize-smooth-over-field	00TT	algebra	lemma-characterize-smooth-over-field
algebra-lemma-complete-henselian	04GM	algebra	lemma-complete-henselian
algebra-lemma-complete-modulo-nilpotent	0DYC	algebra	lemma-complete-modulo-nilpotent
algebra-lemma-completion-flat	00MB	algebra	lemma-completion-flat
algebra-lemma-completion-Noetherian	05GH	algebra	lemma-completion-Noetherian
algebra-lemma-completion-tensor	00MA	algebra	lemma-completion-tensor
algebra-lemma-differentials-finitely-presented	00RY	algebra	lemma-differentials-finitely-presented
algebra-lemma-differentials-localize	00RT	algebra	lemma-differentials-localize
algebra-lemma-dimension-at-a-point-finite-type-field	00P1	algebra	lemma-dimension-at-a-point-finite-type-field
algebra-lemma-finite-dimensional-algebra	00J6	algebra	lemma-finite-dimensional-algebra
algebra-lemma-finite-projective	00NX	algebra	lemma-finite-projective
algebra-lemma-finite-type-algebra-finite-nr-primes	0ALW	algebra	lemma-finite-type-algebra-finite-nr-primes
algebra-lemma-grothendieck-regular-sequence	00MG	algebra	lemma-grothendieck-regular-sequence
algebra-lemma-hom-from-finitely-presented	0583	algebra	lemma-hom-from-finitely-presented
algebra-lemma-lci	00SC	algebra	lemma-lci
algebra-lemma-lci-CM	00SB	algebra	lemma-lci-CM
algebra-lemma-lci-local	00SF	algebra	lemma-lci-local
algebra-lemma-localize-lci	00SA	algebra	lemma-localize-lci
algebra-lemma-localize-NL	00S7	algebra	lemma-localize-NL
algebra-lemma-NAK	00DV	algebra	lemma-NAK
algebra-lemma-NL-homotopy	00S1	algebra	lemma-NL-homotopy
algebra-lemma-quotient-strict-henselization	05WS	algebra	lemma-quotient-strict-henselization
