full_label	tag	aux_document	local_label
algebraic-definition-algebraic-stack	026O	algebraic	definition-algebraic-stack
algebraic-definition-morphism-algebraic-stacks	03YP	algebraic	definition-morphism-algebraic-stacks
algebraic-definition-presentation	04TI	algebraic	definition-presentation
algebraic-definition-relative-representable-property	03YK	algebraic	definition-relative-representable-property
algebraic-definition-representable-by-algebraic-space	04SV	algebraic	definition-representable-by-algebraic-space
algebraic-definition-representable-by-algebraic-spaces	02ZW	algebraic	definition-representable-by-algebraic-spaces
algebraic-lemma-base-change-by-space-representable-by-space	0300	algebraic	lemma-base-change-by-space-representable-by-space
algebraic-lemma-base-change-representable-by-spaces	0302	algebraic	lemma-base-change-representable-by-spaces
algebraic-lemma-base-change-representable-transformations-property	045C	algebraic	lemma-base-change-representable-transformations-property
algebraic-lemma-characterize-representable-by-algebraic-spaces	04Y5	algebraic	lemma-characterize-representable-by-algebraic-spaces
algebraic-lemma-composition-representable-by-spaces	0301	algebraic	lemma-composition-representable-by-spaces
algebraic-lemma-composition-representable-transformations-property	045B	algebraic	lemma-composition-representable-transformations-property
algebraic-lemma-equivalent	03YQ	algebraic	lemma-equivalent
algebraic-lemma-lift-morphism-presentations	04T1	algebraic	lemma-lift-morphism-presentations
algebraic-lemma-map-space-into-stack	04T4	algebraic	lemma-map-space-into-stack
algebraic-lemma-open-fibred-category-is-algebraic	05UN	algebraic	lemma-open-fibred-category-is-algebraic
algebraic-lemma-product-representable-transformations-property	045E	algebraic	lemma-product-representable-transformations-property
algebraic-lemma-representable-algebraic	03YS	algebraic	lemma-representable-algebraic
algebraic-lemma-representable-diagonal	045G	algebraic	lemma-representable-diagonal
algebraic-lemma-representable-transformations-property-implication	045F	algebraic	lemma-representable-transformations-property-implication
algebraic-lemma-smooth-quotient-smooth-presentation	04X0	algebraic	lemma-smooth-quotient-smooth-presentation
algebraic-lemma-stack-presentation	04T5	algebraic	lemma-stack-presentation
algebraic-proposition-algebraic-stack-no-automorphisms	04SZ	algebraic	proposition-algebraic-stack-no-automorphisms
algebraic-section-2-yoneda	04SS	algebraic	section-2-yoneda
algebraic-section-introduction	026L	algebraic	section-introduction
algebraic-section-representable	02ZQ	algebraic	section-representable
algebraic-section-representable-morphism	04ST	algebraic	section-representable-morphism
