full_label	tag	aux_document	local_label
bootstrap-definition-morphism-representable-by-spaces	02YQ	bootstrap	definition-morphism-representable-by-spaces
bootstrap-definition-property-transformation	03XZ	bootstrap	definition-property-transformation
bootstrap-lemma-quotient-stack-isom	04TB	bootstrap	lemma-quotient-stack-isom
bootstrap-lemma-representable-by-spaces-over-space	02YS	bootstrap	lemma-representable-by-spaces-over-space
bootstrap-lemma-representable-diagonal	03Y2	bootstrap	lemma-representable-diagonal
bootstrap-theorem-bootstrap	03Y3	bootstrap	theorem-bootstrap
bootstrap-theorem-final-bootstrap	04S6	bootstrap	theorem-final-bootstrap
categories-definition-categories-fibred-in-groupoids-over-C	02XS	categories	definition-categories-fibred-in-groupoids-over-C
categories-definition-categories-over-C	003Y	categories	definition-categories-over-C
categories-definition-category-fibred-setoids	04SA	categories	definition-category-fibred-setoids
categories-definition-category-fibred-sets	0043	categories	definition-category-fibred-sets
categories-definition-fibred-groupoids	003T	categories	definition-fibred-groupoids
categories-definition-pullback-functor-fibred-category	02XN	categories	definition-pullback-functor-fibred-category
categories-definition-representable-fibred-category	0046	categories	definition-representable-fibred-category
categories-definition-representable-map-categories-fibred-in-groupoids	02Y7	categories	definition-representable-map-categories-fibred-in-groupoids
categories-example-fibred-category-from-functor-of-points	0044	categories	example-fibred-category-from-functor-of-points
categories-example-functor-groupoids	0049	categories	example-functor-groupoids
categories-example-presheaf	04TM	categories	example-presheaf
categories-lemma-2-category-fibred-setoids	04SC	categories	lemma-2-category-fibred-setoids
categories-lemma-2-category-fibred-sets	02Y2	categories	lemma-2-category-fibred-sets
categories-lemma-2-fibre-product-erase-factor	02XD	categories	lemma-2-fibre-product-erase-factor
categories-lemma-2-product-categories-over-C	0040	categories	lemma-2-product-categories-over-C
categories-lemma-associativity-2-fibre-product	02XC	categories	lemma-associativity-2-fibre-product
categories-lemma-category-fibred-setoids-presheaves-products	04SD	categories	lemma-category-fibred-setoids-presheaves-products
categories-lemma-characterize-representable-fibred-category	02Y3	categories	lemma-characterize-representable-fibred-category
categories-lemma-criterion-representable-map-stack-in-groupoids	02Y9	categories	lemma-criterion-representable-map-stack-in-groupoids
categories-lemma-equivalence-fibred-categories	003Z	categories	lemma-equivalence-fibred-categories
categories-lemma-identify-fibre-product	02Y5	categories	lemma-identify-fibre-product
categories-lemma-morphisms-representable-fibred-categories	04SF	categories	lemma-morphisms-representable-fibred-categories
categories-lemma-representable-diagonal-groupoids	02YA	categories	lemma-representable-diagonal-groupoids
categories-lemma-setoid-fibres	0045	categories	lemma-setoid-fibres
categories-lemma-triple-2-fibre-product-pr02	04S7	categories	lemma-triple-2-fibre-product-pr02
categories-lemma-yoneda-2category	004B	categories	lemma-yoneda-2category
criteria-lemma-algebraic-morphism-to-algebraic	05XY	criteria	lemma-algebraic-morphism-to-algebraic
criteria-section-stacks-etale	076U	criteria	section-stacks-etale
descent-lemma-fpqc-universal-effective-epimorphisms	023Q	descent	lemma-fpqc-universal-effective-epimorphisms
examples-stacks-section-examples-stacks-in-groupoids	04UG	examples-stacks	section-examples-stacks-in-groupoids
spaces-definition-algebraic-space	025Y	spaces	definition-algebraic-space
spaces-descent-definition-property-morphisms-local	03YH	spaces-descent	definition-property-morphisms-local
spaces-descent-lemma-descending-property-etale	042B	spaces-descent	lemma-descending-property-etale
spaces-descent-lemma-descending-property-monomorphism	042D	spaces-descent	lemma-descending-property-monomorphism
spaces-descent-lemma-descending-property-smooth	0429	spaces-descent	lemma-descending-property-smooth
spaces-descent-lemma-descending-property-surjective	041Q	spaces-descent	lemma-descending-property-surjective
spaces-groupoids-definition-quotient-stack	044Q	spaces-groupoids	definition-quotient-stack
spaces-groupoids-lemma-quotient-stack-2-cartesian	04M9	spaces-groupoids	lemma-quotient-stack-2-cartesian
spaces-groupoids-lemma-quotient-stack-2-coequalizer	044U	spaces-groupoids	lemma-quotient-stack-2-coequalizer
spaces-groupoids-lemma-quotient-stack-change-big-site	04WX	spaces-groupoids	lemma-quotient-stack-change-big-site
spaces-groupoids-lemma-quotient-stack-morphisms	044V	spaces-groupoids	lemma-quotient-stack-morphisms
spaces-lemma-descent-representable-transformations-property	03KD	spaces	lemma-descent-representable-transformations-property
spaces-lemma-fibre-product-spaces	02X2	spaces	lemma-fibre-product-spaces
spaces-morphisms-lemma-smooth-flat	04TA	spaces-morphisms	lemma-smooth-flat
spaces-morphisms-lemma-smooth-locally-finite-presentation	04AJ	spaces-morphisms	lemma-smooth-locally-finite-presentation
spaces-section-change-base-scheme	03I3	spaces	section-change-base-scheme
stacks-definition-stack-in-groupoids	02ZI	stacks	definition-stack-in-groupoids
stacks-introduction-section-introduction	072I	stacks-introduction	section-introduction
stacks-lemma-2-fibre-product-stacks-in-setoids-over-stack-in-groupoids	05UJ	stacks	lemma-2-fibre-product-stacks-in-setoids-over-stack-in-groupoids
stacks-lemma-2-product-stacks-in-groupoids	02ZL	stacks	lemma-2-product-stacks-in-groupoids
stacks-lemma-bigger-site	04WS	stacks	lemma-bigger-site
stacks-lemma-characterize-essentially-surjective-when-ff	046N	stacks	lemma-characterize-essentially-surjective-when-ff
stacks-lemma-characterize-stack-in-setoids	04ZM	stacks	lemma-characterize-stack-in-setoids
stacks-lemma-isom-as-2-fibre-product	04SI	stacks	lemma-isom-as-2-fibre-product
stacks-lemma-localize-stacks	04WV	stacks	lemma-localize-stacks
stacks-lemma-relative-sheaf-over-stack-is-stack	0CKJ	stacks	lemma-relative-sheaf-over-stack-is-stack
stacks-lemma-stack-in-groupoids-equivalent	042X	stacks	lemma-stack-in-groupoids-equivalent
stacks-lemma-stack-in-setoids-characterize	0432	stacks	lemma-stack-in-setoids-characterize
stacks-section-inverse-image	04WA	stacks	section-inverse-image
stacks-section-localize	04WT	stacks	section-localize
topologies-definition-big-fppf-site	021R	topologies	definition-big-fppf-site
topologies-definition-big-small-fppf	021S	topologies	definition-big-small-fppf
topologies-section-change-alpha	022I	topologies	section-change-alpha
